Website;Label
123dok.com;good
kuyhaa-me.com;good
screenmirrorapp.com;good
post.copydev.com;bad
carisinyal.com;good
mesodigital.com;good
vycqmzwftktb.com;bad
wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion;bad
bit.ly/rfubima;good
techviral.net;good
venustab.com;good
tagarberita.com;good
download.cnet.com;good
gimana.net;good
whatsapgrouplinks.com;good
desty.page;good
s4k4ceiapwwgcm3mkb6e4diqecpo7kvdnfr5gg7sph7jjppqkvwwqtyd.onion;bad
supplyweapon.onion;bad
bit.ly/berbagi-shopee12-12;bad
xl.co.id;good
bit.ly/balailelang747;good
bit.ly/gebyarshopee-2021;bad
igracias.telkomuniversity.ac.id;good
azure.styava.dev;good
216.218.245.81/qs=r-acacafcbegicafigbdhedaejgkdabababakadbfaccacijacikkakdjbdacb;bad
siasat.uksw.edu;good
sekawanmedia.co.id/blog;good
poinbri2737.blogspot.com;bad
t.co/xlFzbQKU1n;bad
sipakaro.my.id;bad
aaa.com;good
123.com;bad
test.com;bad
cutt.ly/Jpk081;good
bit.ly/AccTOTO;good
mola.tv;good
example.nl;good
shopee.co.id;good
youtube.com;good
instagram.com;good
cutt.ly/B0Y470;good
bit.ly/gamewr;good
catchmeup.id/2021/12/bongkahan-es-terbesar-mencair-akibat-pemanasan-global;good
cnnindonesia.com/nasional/20210428121212-20-635852/kesaksian-warga-tangkap-babi-ngepet-di-depok/2;good
nytimes.com/2021/12/19/opinion/omicron-breakthroughs.html;good
palopopos.co.id/2021/12/wawali-rmb-hadiri-munas-vi-alumni-ipb;good
nytimes.com/interactive/2021/12/18/us/airstrikes-pentagon-records-civilian-deaths.html;good
s.id/pertamina47;bad
s.id/pertamina-68;bad
s.id/my-pertamina3;bad
tsel.me/promositepat;bad
covid19.go.id;good
instagram.com/vernalta;good
bsre.bssn.go.id/verifikasi;good
koleksikaktus.blogspot.com;good
otexts.com/fpp2/hierarchical.html;good
linkedin.com/jobs/view/2843471703;good
bit.ly/volunteer-kmis-2021;bad
bit.ly/RPKMIS2122;good
153.92.4.68:5432;good
s.id/Uji-Evaluasi-BSSN;good
linktr.ee/vernalta;good
tsel.me/cashback75;good
s.bps.go.id/wnast;bad
bit.ly/shopeebigsale662;bad
bit.ly/-pertamina252;bad
bit.ly/infobeauty779;bad
tinyurl.com/ms-glow69;bad
bit.ly/berkah-tiktok;bad
cutt.ly/Jpk070;good
gallery24.tk;bad
my-discord-gift.com;bad
bit.ly/UNDIAN-SHOPEE-2021;bad
bit.ly/Dana_Saluran_BPJS_2021;bad
bit.ly/Dana-Saluran-BPJS-2021;bad
disccord-appss.com;bad
dlscord.com;bad
stearncommunity.com;bad
klikbca.com;good
rkb-gold.com;bad
s.id/BantuanDanaBPJS2021;bad
prestasijuniorindonesia.cloudswyft.com;good
stat.ipb.ac.id;good
grmds.org;good
datascience.or.id;good
medium.com/@986110101;good
eiu.com/n/campaigns/democracy-index-2020;good
s.id/Uji-Evaluasi-BSSN;good
153.92.4.68:5432;good
153.92.4.68:5432/review;good
mail.google.com;good
datascience.or.id;good
medium.com/data-science-indo/mengenal-lebih-dekat-calon-ibukota-negara-a40d0e36cda6;good
pertamina0751.blogspot.com;bad
undian-kedasbeauty745.blogspot.com;bad
shopeebigsale662.blogspot.com;bad
bit.ly/undian-kedasbeauty745;bad
bit.ly/Hadiah-pertamina99;bad
bitly.com/30en4UU;bad
bit.ly/shopeebigsale662;bad
fs.blog/the-art-of-reading-analytical-reading;good
web.whatsapp.com;good
surat.cs.ui.ac.id/login;good
google.com;good
instagram.com;good
202.95.10.130/?ref=propeller99dewa.com;good
bit.ly/office2016txt;bad
github.com;good
intip.in/hidrocon;bad
dicoding.id/referralprogram;good
bit.ly/berkah-ramadhan44;bad
dicoding.com/events/3847;good
bit.ly/info-resmi349;bad
149.56.24.226;good
music.youtube.com/watch?v=_KzHGbpxMOY&list=RDAMVM_KzHGbpxMOY;good
153.92.4.68:5432;good
bit.ly/big-sale899;bad
s.id/dana-subsidi691;bad
covid19.go.id;good
dicoding.id/referralprogram;good
axis.co.id/LC;good
bit.ly/inforesmijkt337;bad
bit.ly/gebyarwhatsapp55;bad
google.com;good
bssn.go.com;bad
ui.ac.id;good
ugm.ac.id;good
ub.ac.id;good
bit.ly/3epIzWt;good
Youtube.com;good
topremit.com/en;good
uph.edu;good
datascience.or.id;good
canvas.instructure.com;good
bit.ly/info-lazada00;bad
facebook.com;good
domain_facebook.com;bad
bit.ly/u-telkomsel;bad
sport.detik.com/sepakbola;good
twitter.com;good
bit.ly/gebyartiktok-com;bad
turnbackhoax.id;good
smartcity.jakarta.go.id;good
tirto.id;good
twitter.com/BKNgoid/status/1473974635989327874;good
bit.ly/mysf-apps;good
bit.ly/AFAPKR;bad
bit.ly/3cAZvak;bad
bit.ly/xcrwa;good
tokopedia.com/distriponsel;good
bit.ly/ONXL20;good
linktr.ee;good
bit.ly/technical-test-dsls-2021;good
christianwbsn.github.io;good
facebook.pcriot.com;bad
inioverfitkedotcom.com;bad
facebook.com/login;good
linkedin.com/login?fromSignIn=true&trk=guest_homepage-basic_nav-header-signin;good
bensteinn.com/account/login;good
spaces.hightail.com/space/iVYcsPqRUD;bad
casecopyrightmedia.com;bad
web.12min.com;good
dashboard.prakerja.go.id;good
m.21cineplex.com/act?m=085156220395;good
gojek.link/gopay/a/jmdp52Y;good
gojek.com/secure;good
bit.ly/spbupertamina09;bad
bit.ly/tiktok-4166;bad
s.id/gebyar-ms-glow;bad
myads.id/kk001;good
bit.ly/pertamina323;bad
pay.mamikos.com/invoice/7UBAJ;good
tiket.com;good
bit.ly/kai13agt;good
pdl.id/c/19xvzz1n;good
halodoc.onelink.me/cQvV/636c3822;good
