,Website,Label
0,v2.email-marketing.adminsimple.com/track/link?s=a879370e133bf6f71b5cc7ce0c2043e1&amp;administratorid=20238&amp;memberid=21410&amp;campaignid=1&amp;campaignstatisticsid=1&amp;url=http%3a%2f%2fcadivi.pro%2faprobados%2faprobados2012.php%3futm_source%3dv2.email-marketing.adminsimple.com,bad
1,bid.openx.net/json?amp;amp;amp;amp;cid;=oxpv1:1-1-1-1-2&amp;amp;amp;f;=0.1&amp;amp;amp;pid;=6816e307-0a4f-774f-9a04-0656ee32b144&amp;amp;amp;s;=468x60&amp;amp;amp;url;=hxxp:/zacateks.com/wp-includes/pomo/online.wellsfargo.com/online.wellsfargo.com/authenticat&amp;amp;c=oxm_85552372154,bad
2,webmail2.centurytel.net/hwebmail/services/go.php?url=63.247.80.138/~julilift/_private/chasesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/chasesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/,bad
3,google.com.ng/imgres?imgurl=forasinvest.com/v2/images/stories/benin%20hotel%201.jpg&amp;amp;amp;amp;amp;imgrefurl=forasinvest.com/v2/index.php?option=com_content&amp;amp;amp;amp;view=article&amp;amp;amp;amp;id=143%3athe-greatest-tourism-project-in-beninpresid...,bad
4,webmail2.centurytel.net/hwebmail/services/go.php?url=activetalk.it/_private/boaonlinesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/boaonlinesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/,bad
5,liceonuzzi.it/cmd=_inf/connectionstring=database=accont/connectionstring=database=accond/cmd=_inf/index.html?cmd=_inf&ditch=5d813c0db1fb6947b0aeae66fdb885d8135885d813c0db1fb6947b0aeae66fdb885d813c0db1fb6947b0aeae66fdb885d813c0db1fb6947b0aeae66fdbfb2119927117e3a6f86e0fd3465,bad
6,bank0famerica-com.z2.newmail.ru/secure_membin_bankofameri_caemail_id43432gjg98987ihgwq72k9878e.htm?securelogin=yes?ssl_encryptlink=yes&amp;source=bankofamericaemaildefaultaspx?refererident=341348b3767313d1683678cadd124hj8s748fghhjc1ajkcb&amp;cookieid=43562714&amp;nocachelocal,bad
7,superpromocao.net78.net/explosaodepremiosonline/master/visa/90%20dias/explosaodepremiosonline/cadastro5.php?6l72c6fgsxhgy2h5r9z8488893pknymsjtuvyabr9t97vpany0u2h30p6z0sxwlhqfdoqpgyio5edf2bpwd8znw5m7wj4h2txein4ylmnq2273cvzq4yd1317zjagl4ezl24knq8dr9kulftcjsqjvqpuazbv4pvprz0,bad
8,google.fr/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=2&amp;sqi=2&amp;ved=0cfaqfjab&amp;url=http%3a%2f%2finchelseahairdesign.com%2ftestimonials%2f&amp;ei=ydtet6iweya58goqzbtncw&amp;usg=afqjcnfvchm-vr4tw-9tlamt1ulbkgczga&amp;sig2=ba7yvjcgdbqcufpzsxczpq,bad
9,cultivateyourlife.com/data/santander.co.uk/retail.php?santander.co.uk/csgs/satellite?appid=abbey.internet.abbeycom&amp;canal=cabbeycom&amp;cid=1237889419188&amp;empr=abbeycom&amp;launch=no&amp;leng=en_gb&amp;pagename=abbeycom%2fpage%2fwc_acom_viewselector,bad
10,jrgonzalezabogados.com/templates/disco-beat-template/images/bluedarkgrey/premiostododia/cadastro.php?o2uwqq28tuw5jtuoza54xsnkuustaw9zx4votwvnqrsalmylw4puvdeq97ki4th1xdor0ke1c7ayt0kpc0j9mxzu5jd8du9a8x2hhghunssg2d7empn0nm4s7gzjb9ui6v1nchi10ahbonpaccj1zns64spf1jy7fyus,bad
11,jrgonzalezabogados.com/templates/disco-beat-template/images/bluedarkgrey/premiostododia/cadastro.php?q2c6aczjrpt3g7w1d8e8l6b45hlgqi8gjjmtwldoa8qrdnrru7ygbakgr6xin5y8ok2k7f9hmz9zmzrh7pxh1iysnvab19jptk01zihlipl5pcmv3kd33buq8529dlx86886ppr9fdc5qz1sjdvlpqbwvd50y3g50oaz,bad
12,"api.yontoo.com/getclientdata.ashx?key=null&amp;id=b2af1809-361c-40e7-b5b9-a0473e71ab31&amp;loc=http:/ebay.com/itm/womens-juniors-off-white-american-eagle-puffer-coat-w-fur-trim-hood-size-m-/110967312041?pt=us_csa_wc_outerwear&hash=item19d62acea9&amp;apps=twittube,ezlooker,pagerage,buzzdock,toprelatedtopics",bad
