Website,Label,LastChecked,protocol
Website,Label,2026-01-13 10:18:13.210762,malformed
123dok.com,good,2026-01-13 10:18:13.210762,HTTP
kuyhaa-me.com,good,2026-01-13 10:18:13.210762,HTTP
screenmirrorapp.com,good,2026-01-13 10:18:13.210762,HTTP
post.copydev.com,bad,2026-01-13 10:18:13.210762,malformed
carisinyal.com,good,2026-01-13 10:18:13.210762,HTTPS
mesodigital.com,good,2026-01-13 10:18:13.210762,malformed
vycqmzwftktb.com,bad,2026-01-13 10:18:13.210762,malformed
wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion,bad,2026-01-13 10:18:13.210762,malformed
bit.ly/rfubima,good,2026-01-13 10:18:13.210762,HTTPS
techviral.net,good,2026-01-13 10:18:13.210762,HTTPS
venustab.com,good,2026-01-13 10:18:13.210762,HTTPS
tagarberita.com,good,2026-01-13 10:18:13.210762,HTTPS
download.cnet.com,good,2026-01-13 10:18:13.210762,malformed
gimana.net,good,2026-01-13 10:18:13.210762,malformed
whatsapgrouplinks.com,good,2026-01-13 10:18:13.210762,malformed
desty.page,good,2026-01-13 10:18:13.210762,HTTPS
s4k4ceiapwwgcm3mkb6e4diqecpo7kvdnfr5gg7sph7jjppqkvwwqtyd.onion,bad,2026-01-13 10:18:13.210762,malformed
supplyweapon.onion,bad,2026-01-13 10:18:13.210762,malformed
bit.ly/berbagi-shopee12-12,bad,2026-01-13 10:18:13.210762,HTTPS
xl.co.id,good,2026-01-13 10:18:13.210762,HTTPS
bit.ly/balailelang747,good,2026-01-13 10:18:13.210762,HTTPS
bit.ly/gebyarshopee-2021,bad,2026-01-13 10:18:13.210762,HTTPS
igracias.telkomuniversity.ac.id,good,2026-01-13 10:18:13.210762,HTTPS
azure.styava.dev,good,2026-01-13 10:18:13.210762,malformed
216.218.245.81/qs=r-acacafcbegicafigbdhedaejgkdabababakadbfaccacijacikkakdjbdacb,bad,2026-01-13 10:18:13.210762,malformed
siasat.uksw.edu,good,2026-01-13 10:18:13.210762,HTTPS
sekawanmedia.co.id/blog,good,2026-01-13 10:18:13.210762,HTTPS
poinbri2737.blogspot.com,bad,2026-01-13 10:18:13.210762,malformed
t.co/xlFzbQKU1n,bad,2026-01-13 10:18:13.210762,HTTPS
sipakaro.my.id,bad,2026-01-13 10:18:13.210762,malformed
aaa.com,good,2026-01-13 10:18:13.210762,HTTPS
123.com,bad,2026-01-13 10:18:13.210762,HTTPS
